,SUBDIVISION,YEAR,ANNUAL,J-J-A-S,Oct-Nov-Dec
206,KERALA,1992,3239.399999999999,2392.6,582.0
207,KERALA,1993,2717.7,1823.1,631.2
208,KERALA,1994,3410.8,2493.0,552.5
209,KERALA,1995,2858.8,1933.2,381.0
210,KERALA,1996,2609.8999999999996,1938.5000000000002,446.5
211,KERALA,1997,3252.5,2342.8999999999996,675.6999999999999
212,KERALA,1998,3151.4,2263.3,659.1999999999999
213,KERALA,1999,2914.7000000000003,1661.9999999999998,640.9
214,KERALA,2000,2412.4999999999995,1739.3,361.4
215,KERALA,2001,2931.0,1891.8999999999999,510.70000000000005
216,KERALA,2002,2507.5,1359.0,651.3000000000001
217,KERALA,2003,2394.7999999999997,1542.6,493.09999999999997
218,KERALA,2004,2886.0,1669.4999999999998,444.0
219,KERALA,2005,3031.2,2157.6,480.79999999999995
220,KERALA,2006,3420.600000000001,2193.8,541.0
221,KERALA,2007,3489.6000000000004,2688.5,456.5
222,KERALA,2008,2524.7000000000003,1671.0,415.79999999999995
223,KERALA,2009,2810.6999999999994,1958.8999999999999,523.8
224,KERALA,2010,3131.9,1928.1,823.3
225,KERALA,2011,3035.2999999999993,2209.2,446.4
226,KERALA,2012,2151.2000000000003,1535.6,309.79999999999995
227,KERALA,2013,3255.5,2561.2,431.79999999999995
228,KERALA,2014,3046.6,2164.9,502.2
229,KERALA,2015,2600.7,1514.6999999999998,611.1
